date,call_volume,day_of_week,month,is_weekend
2024-01-01,601,0,1,0
2024-01-02,465,1,1,0
2024-01-03,528,2,1,0
2024-01-04,536,3,1,0
2024-01-05,471,4,1,0
2024-01-06,300,5,1,1
2024-01-07,544,6,1,1
2024-01-08,586,0,1,0
2024-01-09,508,1,1,0
2024-01-10,480,2,1,0
2024-01-11,541,3,1,0
2024-01-12,574,4,1,0
2024-01-13,355,5,1,1
2024-01-14,393,6,1,1
2024-01-15,826,0,1,0
2024-01-16,486,1,1,0
2024-01-17,530,2,1,0
2024-01-18,484,3,1,0
2024-01-19,585,4,1,0
2024-01-20,358,5,1,1
2024-01-21,354,6,1,1
2024-01-22,588,0,1,0
2024-01-23,566,1,1,0
2024-01-24,519,2,1,0
2024-01-25,510,3,1,0
2024-01-26,549,4,1,0
2024-01-27,386,5,1,1
2024-01-28,381,6,1,1
2024-01-29,633,0,1,0
2024-01-30,545,1,1,0
2024-01-31,606,2,1,0
2024-02-01,517,3,2,0
2024-02-02,550,4,2,0
2024-02-03,345,5,2,1
2024-02-04,607,6,2,1
2024-02-05,665,0,2,0
2024-02-06,532,1,2,0
2024-02-07,508,2,2,0
2024-02-08,509,3,2,0
2024-02-09,597,4,2,0
2024-02-10,406,5,2,1
2024-02-11,400,6,2,1
2024-02-12,608,0,2,0
2024-02-13,550,1,2,0
2024-02-14,547,2,2,0
2024-02-15,552,3,2,0
2024-02-16,610,4,2,0
2024-02-17,393,5,2,1
2024-02-18,410,6,2,1
2024-02-19,639,0,2,0
2024-02-20,558,1,2,0
2024-02-21,571,2,2,0
2024-02-22,498,3,2,0
2024-02-23,574,4,2,0
2024-02-24,374,5,2,1
2024-02-25,369,6,2,1
2024-02-26,632,0,2,0
2024-02-27,605,1,2,0
2024-02-28,523,2,2,0
2024-02-29,588,3,2,0
2024-03-01,531,4,3,0
2024-03-02,383,5,3,1
2024-03-03,401,6,3,1
2024-03-04,667,0,3,0
2024-03-05,582,1,3,0
2024-03-06,741,2,3,0
2024-03-07,546,3,3,0
2024-03-08,577,4,3,0
2024-03-09,429,5,3,1
2024-03-10,393,6,3,1
2024-03-11,605,0,3,0
2024-03-12,521,1,3,0
2024-03-13,528,2,3,0
2024-03-14,578,3,3,0
2024-03-15,601,4,3,0
2024-03-16,426,5,3,1
2024-03-17,387,6,3,1
2024-03-18,658,0,3,0
2024-03-19,585,1,3,0
2024-03-20,552,2,3,0
2024-03-21,580,3,3,0
2024-03-22,576,4,3,0
2024-03-23,391,5,3,1
2024-03-24,391,6,3,1
2024-03-25,613,0,3,0
2024-03-26,582,1,3,0
2024-03-27,549,2,3,0
2024-03-28,566,3,3,0
2024-03-29,617,4,3,0
2024-03-30,421,5,3,1
2024-03-31,429,6,3,1
2024-04-01,652,0,4,0
2024-04-02,551,1,4,0
2024-04-03,563,2,4,0
2024-04-04,507,3,4,0
2024-04-05,551,4,4,0
2024-04-06,360,5,4,1
2024-04-07,371,6,4,1
2024-04-08,670,0,4,0
2024-04-09,535,1,4,0
2024-04-10,782,2,4,0
2024-04-11,612,3,4,0
2024-04-12,589,4,4,0
2024-04-13,432,5,4,1
2024-04-14,373,6,4,1
2024-04-15,649,0,4,0
2024-04-16,533,1,4,0
2024-04-17,554,2,4,0
2024-04-18,850,3,4,0
2024-04-19,540,4,4,0
2024-04-20,421,5,4,1
2024-04-21,413,6,4,1
2024-04-22,634,0,4,0
